SynsetTerms,PosScore,NegScore
flat#15,0,0
indolent#2,0,0
latent#2,0.125,0.25
quiescent#4,0,0.625
active#3,0.125,0
activistic#1,0,0
hands-on#1,0,0
proactive#2,0,0
passive#1,0.375,0.25
unresisting#1,0,0.75
eruptive#3,0.125,0.5
inactive#5,0,0
quiescent#3,0,0.25
extinct#2,0,0
dead#5,0.25,0.625
active#12,0,0.5
live#11,0.5,0
dynamic#3,0,0
stative#1,0,0
active#10,0,0
passive#3,0,0
active#6,0.25,0
activated#3,0.125,0
counteractive#1,0,0.5
surface-active#1,0,0
inactive#4,0,0.625
quiescent#1,0.125,0.625
active#9,0.375,0
quiet#6,0,0.5
existent#3,0.125,0.5
effective#5,0.5,0
potential#1,0,0.25
latent#1,0,0.625
acute#1,0,0.5
subacute#1,0,0
chronic#1,0,0.375
degenerative#1,0,0.375
virulent#2,0.5,0
highly_infective#1,0.125,0.375
deadly#6,0.125,0.25
avirulent#1,0,0.875
adaptive#1,0.25,0
reconciling#1,0.625,0.125
adaptational#1,0,0
adjustive#1,0.625,0.125
maladaptive#1,0.5,0.375
nonadaptive#1,0,0
maladjustive#1,0.375,0.25
addicted#1,0,0
alcoholic#2,0,0
habit-forming#1,0,0.625
nonaddictive#1,0.25,0.5
additive#2,0,0.375
cumulative#1,0,0
addible#1,0.5,0
extra#3,0,0
completing#1,0.125,0.125
incremental#1,0,0
intercalary#1,0,0
summative#1,0,0
supplementary#2,0,0
subtractive#1,0.25,0
ablative#2,0.625,0
reductive#1,0,0.625
addressed#1,0.125,0
self-addressed#1,0,0
unaddressed#1,0,0.125
equal#2,0,0
up_to#2,0.375,0.25
competent#2,0.25,0
unequal#2,0,0.5
wanting#2,0,0.625
unequal_to#1,0,0.25
understaffed#1,0,0.75
adhesive#1,0.25,0.5
adherent#1,0,0
agglutinative#2,0,0
bondable#2,0.25,0
tenacious#3,0,0
cohesive#1,0,0.5
viscous#2,0,0
icky#2,0,0
gum-like#1,0,0
gummy#2,0,0.25
tarry#1,0,0
self-sealing#2,0,0.5
stick-on#1,0,0.5
sticky#5,0,0
nonadhesive#1,0,0.75
nonviscid#1,0,0.625
nonresiny#1,0,0.5
ungummed#1,0,0.75
procedural#2,0,0
substantive#2,0.125,0
adoptable#1,0.75,0
unadoptable#1,0,0
decorated#1,0.375,0
spangly#1,0,0.375
bedaubed#1,0,0.5
spectacled#1,0,0.25
raised#2,0,0
buttony#2,0,0.125
carbuncled#2,0,0
cloisonne#1,0,0
tinselly#1,0,0
plumed#3,0,0.25
tufted#3,0,0
crested#1,0,0
crocketed#1,0,0
plumy#3,0,0.125
ruffled#2,0,0.125
fringed#2,0,0.125
gilt-edged#2,0.125,0
inflamed#3,0,0.125
inlaid#1,0,0.125
inwrought#1,0,0
tessellated#2,0,0
mounted#2,0,0.25
tapestried#1,0,0.125
tasselled#1,0,0.125
tricked-out#1,0,0.125
tufted#2,0,0.125
undecorated#1,0.25,0.625
unornamented#1,0.125,0.25
untufted#1,0.375,0.375
cholinergic#1,0,0
anticholinergic#1,0,0
adroit#1,0.25,0
neat#4,0.625,0
ingenious#1,0.625,0
coordinated#2,0,0
handy#3,0.25,0
nimble-fingered#1,0,0
maladroit#1,0.25,0.375
left-handed#6,0.125,0.75
uncoordinated#2,0.125,0.375
unmechanical#1,0,0.25
advantageous#1,0.625,0
good#5,0.625,0
positive#3,0.75,0
preferential#1,0.125,0.25
disadvantageous#1,0.75,0.25
negative#9,0,0.875
adventurous#1,0.625,0.25
venturous#1,0.375,0.125
sporting#3,0.25,0.25
swashbuckling#1,0.375,0.25
unadventurous#1,0.25,0.375
safe#2,0,0
advisable#1,0.625,0
better#3,0.75,0
well#3,0.625,0
unadvisable#1,0.125,0.625
well-advised#1,0.5,0
considered#1,0,0
unadvised#1,0,0.125
aerophilous#1,0,0
aerobiotic#1,0,0
oxidative#1,0,0
anaerobiotic#1,0,0.375
aerobic#2,0.5,0
anaerobic#2,0,0.25
esthetical#1,0.625,0
artistic#2,0.625,0
enhancive#2,0,0
painterly#1,0.25,0
sensuous#1,0.375,0.125
unaesthetic#1,0.5,0.5
unartistic#1,0.125,0.5
affected#1,0.375,0
impressed#1,0.5,0.5
struck#1,0,0.375
stage-struck#1,0.125,0
subject#3,0,0.625
taken#2,0.125,0.5
wonder-struck#1,0,0.5
unaffected#1,0.125,0.125
immune#4,0,0.625
superior#7,0.125,0
unimpressed#1,0,0.625
untouched#2,0.25,0.625
unnatural#3,0,0
strained#4,0,0
stilted#1,0,0.25
strained#3,0.125,0.625
elocutionary#2,0,0.25
mannered#1,0,0.375
plummy#2,0.25,0.125
unaffected#4,0.75,0.125
natural#10,0.25,0
unmannered#2,0,0.375
unselfconscious#1,0.125,0.125
unstilted#1,0,0
affirmatory#1,0.5,0
assentient#1,0.25,0
negative#2,0,0.75
dissident#2,0,0.625
acceptive#1,0.375,0.25
accepting#1,0.375,0.125
rejective#1,0.125,0.5
dismissive#2,0.125,0.875
repudiative#1,0,0
afloat#2,0,0
adrift#2,0,0
floating#1,0,0
waterborne#2,0,0
aground#1,0,0
afraid#1,0,0.5
acrophobic#1,0,0.75
afeared#1,0,0.125
shocked#1,0.25,0
agoraphobic#1,0,0.75
alarmed#1,0,0.625
algophobic#1,0,0.875
apprehensive#3,0.125,0.625
hangdog#2,0.125,0.25
claustrophobic#2,0,0.75
fearful#1,0.125,0.375
scared#1,0,0.125
horror-struck#1,0,0.25
hunted#1,0.625,0.125
hydrophobic#2,0,0.75
mysophobic#1,0,0.75
terrified#1,0,0
numb#3,0,0.75
shitless#1,0,0.375
terror-struck#1,0,0.5
triskaidekaphobic#1,0,0.625
unnerved#1,0,0.625
white-lipped#1,0.125,0
xenophobic#1,0,0.75
unafraid#1,0.25,0.125
unapprehensive#1,0,0.625
unshrinking#1,0.25,0.375
unfrightened#1,0.625,0.25
aggressive#1,0.5,0
combative#3,0.5,0
militant#2,0.5,0.125
high-pressure#1,0.125,0.125
hostile#5,0,0
in-your-face#1,0.25,0
obstreperous#2,0.125,0.25
vulturous#1,0,0
rough#7,0.25,0
scrappy#1,0.375,0.125
truculent#1,0.25,0.5
unaggressive#1,0,0.625
low-pressure#1,0.125,0.375
agitated#1,0,0.5
worked_up#1,0.25,0.5
overwrought#1,0,0.125
shaken#1,0,0.5
hectic#1,0.375,0.375
phrenetic#1,0.25,0.5
hysterical#2,0.125,0.625
psychedelic#3,0,0.5
wild-eyed#1,0,0
unagitated#2,0.125,0.625
agitated#2,0,0.125
turbulent#2,0,0
churning#1,0.25,0
jolted#1,0,0
ruffled#1,0,0
seething#1,0.25,0.25
unstirred#1,0.5,0.25
agreeable#1,0.5,0
disagreeable#1,0.125,0.875
vexing#2,0,0.5
harsh#6,0.333,0.667
trying#2,0,0.625
unsweet#2,0,0.625
air-to-surface#1,0,0
air-to-air#1,0,0
surface-to-air#1,0,0
watchful#1,0.5,0
wakeful#1,0.375,0
fly#1,0.125,0.625
wide-awake#2,0.5,0
sleepless#2,0.125,0.375
alienable#1,0,0
appropriable#1,0,0
transferrable#2,0.125,0
unalienable#1,0.125,0.375
inviolable#4,0.125,0.625
non-negotiable#1,0.5,0
untransferable#1,0.125,0.5
live#3,0.125,0
liveborn#1,0.375,0.125
viable#2,0.5,0
vital#4,0,0
dead#1,0,0.75
gone#2,0,0.5
assassinated#1,0,0
exsanguinous#1,0,0.5
pulseless#1,0,0.75
cold#13,0,0.375
d.o.a.#1,0,0
deathly#1,0,0.375
defunct#2,0,0
doomed#1,0,0.375
executed#1,0,0
fallen#4,0,0.25
late#4,0.125,0
lifeless#1,0,0.5
murdered#1,0,0
nonviable#1,0,0.625
slain#1,0,0
stillborn#2,0.25,0.5
stone-dead#1,0,0.375
apocrine#1,0,0
eccrine#1,0.25,0
artesian#1,0,0
subartesian#1,0,0.125
live#2,0.5,0
in_play#1,0,0
living#6,0,0.125
dead#2,0,0.625
out#2,0,0.125
lifeless#4,0,0.75
out_of_play#1,0,0
alphabetical#2,0,0
abecedarian#1,0,0
alphabetized#1,0,0
analphabetic#2,0,0.125
altricial#1,0,0
precocial#1,0.25,0
selfless#1,0.875,0
self-centred#1,0.375,0
self-involved#1,0.5,0
ambiguous#2,0.125,0
double-barrelled#2,0.5,0
oracular#3,0.25,0.125
left-handed#5,0.375,0.375
multivalent#3,0.375,0
polysemous#1,0,0
uncertain#7,0.375,0.375
unambiguous#1,0.375,0
wishful#2,0.5,0
driven#3,0.375,0
would-be#1,0.25,0
overambitious#1,0.375,0.25
unambitious#1,0.5,0
shiftless#1,0.25,0.5
ametropic#1,0,0.25
emmetropic#1,0,0
ample#1,0,0
good#2,0,0
generous#3,0.25,0
wide-cut#1,0,0
stingy#2,0,0.625
spare#5,0,0.5
exiguous#1,0.125,0.625
hand-to-mouth#1,0,0.5
hardscrabble#1,0,0.375
paltry#2,0,0
anabolic#2,0.5,0
energy-storing#1,0,0
katabolic#2,0,0.75
energy-releasing#2,0,0
anaclinal#1,0,0
cataclinal#1,0,0
stigmatic#3,0,0.25
astigmatic#1,0,0
anticlinal#1,0,0
synclinal#1,0,0
anadromous#1,0,0
catadromous#1,0,0
diadromous#1,0,0
anabatic#1,0,0
katabatic#1,0,0
anal_retentive#1,0,0
oral#4,0,0
linear#3,0,0
digital#3,0,0
analytical#2,0.125,0
synthetical#2,0,0
uninflected#3,0.125,0
isolating#1,0,0
synthetic#3,0,0
polysynthetic#1,0,0
analytical#1,0,0
synthetical#1,0,0
derivational#1,0,0.25
apocarpous#1,0,0
syncarpous#1,0,0
angry#1,0.375,0.375
provoked#1,0,0.5
maddened#1,0.25,0.25
black#3,0.125,0.5
irascible#2,0.125,0.625
hot_under_the_collar#1,0.125,0.125
sore#3,0.125,0
umbrageous#2,0,0.75
ireful#1,0.125,0.5
livid#3,0.125,0
smouldering#1,0.5,0.25
unangry#1,0,0.125
resentful#1,0,0.875
bitter#1,0.5,0.25
rancorous#1,0.375,0.25
unbitter#1,0,0.75
sentient#1,0.25,0.5
insentient#1,0.125,0.5
unfeeling#2,0.25,0.5
animate#2,0,0
nonliving#1,0,0.75
nonconscious#2,0,0
animated#1,0.375,0
spirited#4,0.375,0
vital#3,0.375,0.25
revived#2,0.5,0.125
unanimated#1,0.375,0.5
lifeless#3,0.25,0
wan#3,0.25,0.5
enlivened#1,0.5,0
perked_up#1,0.875,0
unenlivened#1,0,0.625
animate#1,0,0
inanimate#1,0,0
anonymous#1,0,0.5
unnamed#1,0,0
onymous#1,0,0
binominal#1,0,0
pseudonymous#1,0,0
antemortem#1,0,0
postmortem#1,0,0.125
antecedent#1,0,0
prior#1,0,0
prevenient#1,0.375,0.125
preexisting#1,0,0.375
subsequent#1,0,0
sequent#2,0,0
ulterior#3,0,0
antrorse#1,0,0
retrorse#1,0,0
decurved#1,0,0.125
aquatic#2,0,0
marine#5,0,0
subaquatic#2,0,0
underwater#2,0,0
terrestrial#3,0,0
onshore#2,0,0
overland#1,0,0
amphibious#2,0,0
semiaquatic#1,0,0
preceding#1,0,0.125
above#1,0,0.125
above-named#1,0,0.125
foregoing#1,0,0
prefatory#1,0,0
precedent#1,0,0
premedical#2,0,0
propaedeutic#1,0,0
previous#1,0,0
succeeding#1,0,0
consecutive#1,0,0.375
ensuing#1,0,0
undermentioned#1,0,0
next#1,0,0
in_line#1,0,0
postmortem#2,0,0
precedented#1,0.375,0
unprecedented#1,0,0
unexampled#1,0,0.625
prehensile#1,0,0
nonprehensile#1,0,0.125
prenatal#1,0,0.125
perinatal#1,0,0
postpartum#1,0,0.125
preprandial#1,0,0
postprandial#1,0,0
prewar#1,0,0
postwar#1,0,0
retrograde#2,0,0.125
anterograde#1,0,0.125
antemeridian#1,0,0
ante_meridiem#1,0,0
postmeridian#1,0,0
post_meridiem#1,0,0
anterior#1,0,0
frontal#1,0,0
frontal#4,0,0
prefrontal#1,0,0
posterior#1,0,0
hinder#1,0,0
caudal#3,0,0
retral#2,0,0
dorsal#1,0,0
ventral#1,0,0
dorsoventral#1,0,0
appealable#1,0.5,0
appendaged#1,0,0
unappendaged#1,0,0.625
appetizing#1,0.5,0.25
savoury#3,0.625,0.25
unappetizing#1,0,0.75
approachable#2,0,0
accessible#4,0.125,0.125
unapproachable#1,0,0.375
standoffish#1,0.125,0.625
appropriate#1,0,0
befitting#1,0,0
grade-appropriate#1,0,0
pat#2,0.5,0
right#6,0,0
inappropriate#1,0.125,0.75
unbefitting#1,0,0.625
wrong#3,0,0.875
due#1,0,0
callable#1,0,0
collect#1,0,0
payable#1,0.125,0.125
overdue#1,0,0.25
receivable#1,0,0
out-of-pocket#1,0,0
repayable#1,0,0
undue#1,0.125,0.25
due#3,0.75,0
undue#2,0,0.625
apropos#1,0.5,0.125
pertinent#2,0.375,0.25
malapropos#1,0.25,0.75
out_of_place#1,0.125,0.875
a_priori#1,0.25,0
a_posteriori#1,0.125,0
apteral#1,0,0.5
porticoed#1,0.375,0
pseudoprostyle#1,0.375,0
peripteral#1,0,0
monopteral#1,0,0
pseudoperipteral#1,0,0
arbitrable#1,0,0
nonarbitrable#1,0,0.625
columned#1,0.125,0
amphistylar#1,0,0
columnar#2,0.375,0.25
columnlike#1,0,0
colonnaded#1,0.125,0
pillared#1,0.125,0
uncolumned#1,0,0.5
astylar#1,0,0.25
unpillared#1,0.125,0.25
tree-living#1,0,0
nonarboreal#1,0,0.625
sandy#2,0,0.125
clayey#1,0,0.125
armed#1,0.25,0.125
weaponed#1,0,0
light-armed#2,0,0
militarized#1,0,0
unarmed#1,0,0.5
barehanded#1,0.125,0
clean#16,0.125,0
defenseless#3,0,0.125
weaponless#1,0,0
armoured#2,0,0.125
steel-plated#1,0,0.375
bony-plated#1,0,0.5
bulletproof#2,0.375,0.25
lightly_armoured#1,0,0
mail-cheeked#1,0,0
mailed#1,0,0.125
scaled#2,0,0
unarmoured#2,0,0
armed#3,0,0.125
thorny#2,0,0.375
bristlelike#1,0.25,0.25
brushlike#1,0,0.125
thistlelike#1,0.25,0.25
taloned#1,0,0.25
unarmed#2,0,0.625
thornless#1,0.125,0.375
armed#2,0,0
armlike#1,0,0.125
brachiate#2,0,0
long-armed#1,0,0
one-armed#1,0,0
armless#1,0,0
armoured#1,0,0.125
bone-covered#1,0,0.125
scaly#2,0,0
silver-scaled#1,0,0
unarmoured#1,0,0.125
scaleless#1,0,0.625
artful#2,0.625,0
wily#1,0.625,0.125
precious#4,0.625,0
scheming#2,0.125,0
deep#15,0.625,0
elusive#2,0.625,0
pawky#1,0.125,0.25
careless#2,0.25,0.375
articulate#1,0.125,0.5
smooth-spoken#1,0.375,0.125
speech-endowed#1,0.5,0
well-spoken#1,0,0
unarticulate#1,0,0.625
aphasic#2,0,0.75
voiceless#4,0,0.75
silent#6,0,0
dumb#3,0,0
tongue-tied#1,0.125,0.5
wordless#1,0.25,0.5
unarticulated#2,0,0.5
speaking#1,0.5,0
tongued#2,0,0.25
walk-on#1,0,0.5
articulated#1,0,0.625
jointed#1,0,0
unarticulated#1,0,0.625
unjointed#1,0,0.5
ashamed#1,0,0.75
shamed#2,0,0.5
mortified#2,0,0.5
shamefaced#3,0.5,0.25
unembarrassed#1,0,0.375
self-assertive#1,0.625,0.25
cocky#1,0.5,0.25
forceful#2,0.25,0
unassertive#1,0.625,0
nonassertive#1,0.25,0.375
self-effacing#1,0.125,0.25
associatory#1,0,0.625
associable#1,0.625,0
nonassociative#1,0,0.125
committed#2,0.125,0.125
betrothed#1,0.25,0
intended#2,0,0
involved#3,0,0
uncommitted#2,0,0.75
unpromised#1,0,0.625
affixed#1,0.125,0
appendant#1,0,0
basifixed#1,0,0
pasted#1,0,0
mounted#1,0,0
unaffixed#1,0,0.25
stalkless#1,0,0.125
stalked#1,0,0.125
sessile#1,0,0.625
vagile#1,0,0
unattached#3,0,0.125
attached#2,0,0
detached#4,0,0
separate#2,0,0.5
semidetached#1,0,0
stuck#1,0,0
cragfast#1,0,0
unstuck#1,0.5,0.25
attachable#1,0.5,0
bondable#1,0.5,0
clip-on#1,0.125,0
tie-on#1,0,0
detachable#1,0.25,0
clastic#2,0.625,0
wary#1,0.625,0
upon_one's_guard#1,0.375,0
shy#3,0.375,0.125
unwary#1,0.125,0.625
unguarded#2,0,0.25
attentive#1,0.25,0
wrapped#2,0.25,0.125
heedful#3,0.5,0
observant#1,0.5,0
oversolicitous#1,0.125,0.625
solicitous#2,0.375,0.125
inattentive#1,0.25,0.375
scatty#2,0.375,0.125
distrait#1,0,0.25
woolgathering#1,0.25,0.25
yawning#3,0.25,0.375
oblivious#2,0.375,0
attractive#1,0.875,0
fascinating#2,0.5,0
magnetic#5,0.5,0
cute#1,0.5,0
dinky#2,0.5,0
piquant#3,0.875,0
winning#2,0.625,0
showy#4,0,0.375
spellbinding#1,0.375,0
irresistible#2,0.625,0.125
personable#1,0.625,0
photogenic#1,0.5,0
prepossessing#1,0.5,0
winsome#1,0.625,0
unattractive#1,0.5,0.25
plain#7,0.375,0.25
subfusc#1,0.125,0.25
unpresentable#1,0,0.125
attractive#3,0,0
repulsive#2,0.5,0
appealing#1,0.25,0
catchy#2,0.25,0
attractive#2,0.375,0
unappealing#2,0.125,0.625
off-putting#2,0.25,0.5
attributable#1,0.625,0
referable#1,0,0.25
credited#1,0,0
traceable#1,0,0
unattributable#1,0.125,0.25
prenominal#1,0,0
attributive_genitive#1,0,0
predicative#1,0,0
pregnant#1,0,0
with_child#1,0,0
nonpregnant#1,0,0.125
hearable#1,0.375,0
clunky#2,0,0
sonic#2,0,0
sounding#3,0,0
unhearable#1,0.125,0.5
voiceless#3,0.125,0
infrasonic#1,0.375,0
silent#5,0,0
unsounded#2,0,0.625
ultrasonic#1,0.375,0
unheard#1,0.25,0
transonic#1,0,0
subsonic#1,0,0
supersonic#1,0,0
auspicious#1,0.625,0
promising#2,0,0.375
rosy#4,0.75,0
unfortunate#2,0.111,0.889
unpromising#1,0.125,0.5
propitious#1,0.5,0
prosperous#4,0.75,0
gracious#4,0.375,0
unpropitious#1,0,0.625
ominous#2,0.25,0.75
thunderous#2,0.125,0.875
authorized#1,0,0.375
licensed#1,0,0
sanctioned#3,0,0
glorified#1,0.125,0.125
sceptred#1,0,0
unauthorized#1,0,0.875
self-appointed#1,0,0
unlicensed#1,0,0.25
constitutional#2,0,0
unconstitutional#1,0,0.75
autochthonous#1,0,0
allochthonous#1,0,0
homoecious#1,0,0
heteroecious#1,0,0
autogenous#1,0,0
self-produced#1,0,0
self-induced#2,0,0.625
heterogenous#2,0,0
automatic#1,0,0
semiautomatic#2,0.375,0
machine-driven#1,0,0
self-regulating#1,0,0
self-locking#1,0,0
self-winding#1,0,0
semiautomatic#1,0,0
smart#7,0.5,0
manual#2,0.125,0.375
non-automatic#1,0,0
available#1,0.375,0
accessible#3,0.125,0
acquirable#1,0.625,0
addressable#1,0.625,0
easy#11,0.125,0
forthcoming#3,0.125,0
procurable#1,0.625,0
in_stock#1,0,0
lendable#1,0.25,0
visible#3,0.375,0
on_hand#1,0.375,0
on_tap#2,0,0
on_tap#1,0,0
open#6,0,0.5
purchasable#2,0,0
ready#2,0,0
unavailable#1,0.375,0.5
untouchable#5,0,0.625
out_of_stock#1,0,0.625
awake#1,0.125,0.5
up#2,0,0
awakened#2,0,0
watchful#2,0,0.625
waking#1,0.25,0.25
asleep#1,0,0
at_rest#1,0,0
torpid#2,0,0
drowsy#1,0,0
sound_asleep#1,0,0.125
hypnoid#1,0,0
sleepyheaded#1,0,0
somnolent#1,0.5,0.125
unawakened#2,0,0.25
astringent#2,0.125,0.25
styptic#1,0.125,0.375
nonastringent#1,0,0.375
cognizant#1,0.5,0
awake#2,0.625,0
conscious#3,0.625,0
unmindful#2,0.125,0.25
unconscious#3,0,0.75
witting#1,0.375,0
unwitting#2,0,0.625
alarming#1,0,0.5
dismaying#1,0,0.5
ugly#4,0,0.625
terrible#1,0,0.625
threatening#1,0,0.75
nightmarish#1,0.25,0.625
shuddery#1,0,0.75
creepy-crawly#1,0,0.5
unnerving#1,0.625,0
sick#7,0.25,0.625
hairy#2,0,0.25
petrifying#1,0,0.25
stupefying#3,0.25,0.125
terrifying#1,0,0.625
unalarming#1,0.25,0.25
anemophilous#1,0,0
entomophilous#1,0,0
reassuring#1,0.5,0
soothing#2,0.375,0.125
assuring#1,0.5,0
consoling#1,0.5,0.5
worrisome#1,0.25,0.5
back#1,0,0
rearmost#1,0,0
rearward#1,0,0
front#1,0,0
in_advance#1,0,0
frontmost#1,0,0
head-on#2,0,0
leading#3,0.375,0
guiding#2,0,0
guiding#1,0,0
following#3,0,0
pursuing#1,0,0
backed#1,0,0
hardcover#1,0,0.125
high-backed#1,0.125,0
low-backed#1,0,0.125
razorback#1,0,0
spiny-backed#1,0,0.125
stiff-backed#1,0,0
straight-backed#1,0,0
backless#1,0,0.25
low-cut#2,0,0
backward#1,0,0
sweptback#2,0,0
retroflex#2,0,0
transposed#1,0,0
reverse#3,0.125,0
reverse#1,0,0
receding#1,0,0
self-referent#1,0,0
regardant#1,0,0
retracted#1,0,0
retrograde#4,0,0.5
retroflexed#1,0,0
reversive#1,0.375,0.375
forward#1,0,0
guardant#1,0,0
headlong#2,0.125,0
forward#3,0,0
reverse#2,0,0.125
backward#2,0.5,0
blate#1,0.25,0
forward#2,0.25,0.25
nervy#3,0,0.5
self-assertive#2,0,0.5
overfamiliar#1,0,0.125
wise#4,0,0.125
presumptuous#1,0,0.5
balconied#1,0,0
unbalconied#1,0,0.5
barrelled#1,0,0
unbarrelled#1,0,0.75
beaked#1,0.25,0.25
beaklike#1,0,0.25
billed#1,0,0
duckbill#1,0.125,0.25
rostrate#1,0,0
short-billed#1,0,0
stout-billed#1,0.25,0
straight-billed#1,0,0
thick-billed#1,0,0
beakless#1,0,0.625
bedded#2,0,0
double-bedded#1,0.125,0
single-bedded#1,0,0
twin-bedded#1,0,0
bedless#1,0,0.5
beneficed#1,0,0
unbeneficed#1,0,0.625
stratified#2,0,0
foliated#2,0,0
laminar#1,0,0
superimposed#2,0,0
sheetlike#1,0,0.125
unstratified#1,0,0.75
ferny#1,0,0.5
braky#2,0.125,0.375
fernless#1,0.375,0
grassy#1,0,0
grass-covered#1,0,0.25
grasslike#1,0,0
sedgelike#1,0,0.25
sedgy#1,0,0.25
grassless#1,0,0.25
gusseted#1,0,0
ungusseted#1,0,0.5
hairless#1,0,0.5
bald-pated#1,0,0.125
balding#1,0,0.125
smooth-faced#1,0.125,0.125
depilatory#1,0,0
depilous#1,0.125,0.375
glabrescent#1,0.125,0.375
glabrous#1,0.125,0.375
naked-muzzled#1,0,0
naked-tailed#1,0,0
nonhairy#1,0,0
tonsured#1,0,0
hirsute#1,0,0.25
hoary#3,0.125,0.25
coarse-haired#1,0.25,0.5
comose#2,0,0
curly-haired#1,0,0
dark-haired#2,0,0.375
sericeous#1,0,0.375
floccose#1,0,0
furlike#1,0,0.25
furry#1,0,0
fuzzy#1,0.125,0
glossy-haired#1,0,0
hispid#1,0,0
woolly#4,0,0.125
long-haired#1,0,0
pappose#1,0,0.25
pilous#1,0,0.25
rough-haired#1,0,0
shock-headed#1,0,0
short-haired#1,0,0
silky-haired#1,0,0
silver-haired#1,0,0
smooth-haired#1,0,0.75
snake-haired#1,0,0
